team,salary,player,position,season
Memphis Grizzlies,21165675,Marc Gasol, C,2016-2017
LA Clippers,21165675,DeAndre Jordan, C,2016-2017
Brooklyn Nets,21165675,Brook Lopez, C,2016-2017
Cleveland Cavaliers,21165675,Kevin Love, PF,2016-2017
Charlotte Hornets,20869566,Nicolas Batum, SF,2016-2017
Memphis Grizzlies,26540100,Mike Conley, PG,2016-2017
San Antonio Spurs,20575005,LaMarcus Aldridge, PF,2016-2017
LA Clippers,20140839,Blake Griffin, PF,2016-2017
Atlanta Hawks,20072033,Paul Millsap, PF,2016-2017
Houston Rockets,18735364,Ryan Anderson, PF,2016-2017
Portland Trail Blazers,18500000,Allen Crabbe, SG,2016-2017
Indiana Pacers,18314532,Paul George, SF,2016-2017
Los Angeles Lakers,1.80E+07,Luol Deng, SF,2016-2017
San Antonio Spurs,17638063,Kawhi Leonard, SF,2016-2017
Cleveland Cavaliers,17638063,Kyrie Irving, PG,2016-2017
Chicago Bulls,17552209,Jimmy Butler, SG,2016-2017
Boston Celtics,26540100,Al Horford, C,2016-2017
Detroit Pistons,17200000,Tobias Harris, SF,2016-2017
Milwaukee Bucks,17145838,Greg Monroe, C,2016-2017
Oklahoma City Thunder,17145838,Enes Kanter, C,2016-2017
Dallas Mavericks,17145838,Wesley Matthews, SG,2016-2017
Orlando Magic,1.70E+07,Bismack Biyombo, C,2016-2017
New York Knicks,1.70E+07,Joakim Noah, C,2016-2017
Washington Wizards,16957900,John Wall, PG,2016-2017
Sacramento Kings,16957900,DeMarcus Cousins, C,2016-2017
Golden State Warriors,16663575,Klay Thompson, SG,2016-2017
Portland Trail Blazers,16393443,Evan Turner, SG,2016-2017
Dallas Mavericks,2.50E+07,Dirk Nowitzki, PF,2016-2017
Utah Jazz,16073140,Gordon Hayward, SF,2016-2017
New York Knicks,24559380,Carmelo Anthony, PF,2016-2017
Portland Trail Blazers,24328425,Damian Lillard, PG,2016-2017
Miami Heat,23741060,Chris Bosh, PF,2016-2017
Chicago Bulls,23200000,Dwyane Wade, SG,2016-2017
Atlanta Hawks,23180275,Dwight Howard, C,2016-2017
Los Angeles Lakers,1.60E+07,Timofey Mozgov, C,2016-2017
Washington Wizards,15944154,Ian Mahinmi, C,2016-2017
Miami Heat,15891725,Goran Dragic, PG,2016-2017
Atlanta Hawks,15730338,Kent Bazemore, SG,2016-2017
San Antonio Spurs,15500000,Pau Gasol, C,2016-2017
Golden State Warriors,15330435,Draymond Green, PF,2016-2017
Cleveland Cavaliers,15330435,Tristan Thompson, C,2016-2017
Milwaukee Bucks,15200000,Khris Middleton, SF,2016-2017
Denver Nuggets,15050000,Danilo Gallinari, SF,2016-2017
Orlando Magic,1.50E+07,Jeff Green, SF,2016-2017
Detroit Pistons,14956522,Reggie Jackson, PG,2016-2017
San Antonio Spurs,14445313,Tony Parker, PG,2016-2017
Toronto Raptors,14382023,Jonas Valanciunas, C,2016-2017
Toronto Raptors,14200000,DeMarre Carroll, SF,2016-2017
Indiana Pacers,14153652,Thaddeus Young, PF,2016-2017
San Antonio Spurs,1.40E+07,Manu Ginobili, G,2016-2017
Chicago Bulls,1.40E+07,Rajon Rondo, PG,2016-2017
Minnesota Timberwolves,13550000,Ricky Rubio, PG,2016-2017
Sacramento Kings,13333333,Rudy Gay, SF,2016-2017
LA Clippers,13253012,Jamal Crawford, SG,2016-2017
Chicago Bulls,13219250,Robin Lopez, C,2016-2017
Charlotte Hornets,1.30E+07,Michael Kidd-Gilchrist, SF,2016-2017
Cleveland Cavaliers,12800000,JR Smith, SG,2016-2017
Phoenix Suns,12606250,Brandon Knight, PG,2016-2017
Milwaukee Bucks,12517606,John Henson, F,2016-2017
Sacramento Kings,12500000,Arron Afflalo, G,2016-2017
Los Angeles Lakers,12500000,Jordan Clarkson, PG,2016-2017
Charlotte Hornets,12500000,Miles Plumlee, C,2016-2017
Phoenix Suns,12415000,Tyson Chandler, C,2016-2017
Houston Rockets,12385364,Eric Gordon, SG,2016-2017
Charlotte Hornets,12250000,Marvin Williams, PF,2016-2017
Toronto Raptors,12250000,Serge Ibaka, PF,2016-2017
Golden State Warriors,12112359,Stephen Curry, PG,2016-2017
Minnesota Timberwolves,12100000,Nikola Pekovic, C,2016-2017
Denver Nuggets,12078652,Kenneth Faried, PF,2016-2017
Charlotte Hornets,1.20E+07,Kemba Walker, PG,2016-2017
Boston Celtics,1.20E+07,Amir Johnson, C,2016-2017
Washington Wizards,1.20E+07,Marcin Gortat, C,2016-2017
Orlando Magic,11750000,Nikola Vucevic, C,2016-2017
Brooklyn Nets,11483254,Jeremy Lin, PG,2016-2017
Cleveland Cavaliers,9662922,Iman Shumpert, SG,2016-2017
Milwaukee Bucks,9607500,Matthew Dellavedova, PG,2016-2017
Philadelphia 76ers,9424084,Jerryd Bayless, PG,2016-2017
Brooklyn Nets,9250000,Trevor Booker, F,2016-2017
Portland Trail Blazers,9213483,Meyers Leonard, PF,2016-2017
Philadelphia 76ers,9.00E+06,Gerald Henderson, SG,2016-2017
Portland Trail Blazers,8988765,Maurice Harkless, SF,2016-2017
Oklahoma City Thunder,8950000,Taj Gibson, PF,2016-2017
Indiana Pacers,8800000,Jeff Teague, PG,2016-2017
Philadelphia 76ers,8550000,Tiago Splitter, C,2016-2017
Oklahoma City Thunder,8400000,Ersan Ilyasova, PF,2016-2017
Dallas Mavericks,8375000,Dwight Powell, PF,2016-2017
Boston Celtics,8269663,Avery Bradley, SG,2016-2017
New Orleans Pelicans,8081363,E'Twaun Moore, G,2016-2017
Denver Nuggets,8070175,Darrell Arthur, F,2016-2017
Sacramento Kings,8046500,Kosta Koufos, C,2016-2017
Sacramento Kings,8.00E+06,Garrett Temple, SG,2016-2017
Boston Celtics,8.00E+06,Tyler Zeller, C,2016-2017
Philadelphia 76ers,8.00E+06,Sergio Rodriguez, PG,2016-2017
Sacramento Kings,8.00E+06,Anthony Tolliver, PF,2016-2017
Utah Jazz,8.00E+06,George Hill, PG,2016-2017
New Orleans Pelicans,11286518,Jrue Holiday, PG,2016-2017
New York Knicks,11242000,Courtney Lee, SG,2016-2017
New Orleans Pelicans,11241218,Solomon Hill, SF,2016-2017
Denver Nuggets,11233146,Wilson Chandler, SF,2016-2017
Golden State Warriors,11131368,Andre Iguodala, SG,2016-2017
Utah Jazz,11050000,Derrick Favors, PF,2016-2017
LA Clippers,1.10E+07,Austin Rivers, PG,2016-2017
Utah Jazz,1.10E+07,Joe Johnson, G,2016-2017
Detroit Pistons,10991957,Jon Leuer, PF,2016-2017
Indiana Pacers,10763500,Monta Ellis, SG,2016-2017
Milwaukee Bucks,10500000,Mirza Teletovic, PF,2016-2017
Phoenix Suns,10470000,Jared Dudley, SF,2016-2017
Memphis Grizzlies,10361445,Zach Randolph, PF,2016-2017
Indiana Pacers,10314532,Al Jefferson, C,2016-2017
Sacramento Kings,10203755,Tyreke Evans, SG,2016-2017
Utah Jazz,10154495,Alec Burks, SG,2016-2017
San Antonio Spurs,1.00E+07,Danny Green, SG,2016-2017
Toronto Raptors,1.00E+07,Terrence Ross, SG,2016-2017
New Orleans Pelicans,9904494,Omer Asik, C,2016-2017
Houston Rockets,7806971,Trevor Ariza, SF,2016-2017
Cleveland Cavaliers,7806971,Channing Frye, F,2016-2017
Portland Trail Blazers,7680965,Al-Farouq Aminu, PF,2016-2017
Minnesota Timberwolves,7643979,Cole Aldrich, C,2016-2017
Los Angeles Lakers,7612172,Corey Brewer, F,2016-2017
Washington Wizards,7400000,Markieff Morris, PF,2016-2017
Portland Trail Blazers,7400000,Festus Ezeli, C,2016-2017
LA Clippers,7377500,JJ Redick, SG,2016-2017
Toronto Raptors,7315000,Cory Joseph, PG,2016-2017
Orlando Magic,7250000,D.J. Augustin, PG,2016-2017
Los Angeles Lakers,7.00E+06,Lou Williams, SG,2016-2017
Utah Jazz,7.00E+06,Boris Diaw, C,2016-2017
Indiana Pacers,7.00E+06,Rodney Stuckey, PG,2016-2017
Portland Trail Blazers,6666667,Ed Davis, PF,2016-2017
Boston Celtics,6587132,Isaiah Thomas, PG,2016-2017
Oklahoma City Thunder,6552961,Victor Oladipo, SG,2016-2017
Orlando Magic,6540000,Jodie Meeks, SG,2016-2017
Charlotte Hornets,6511628,Jeremy Lamb, SG,2016-2017
Philadelphia 76ers,6500000,Carl Landry, PF,2016-2017
Detroit Pistons,6500000,Aron Baynes, C,2016-2017
San Antonio Spurs,6393750,Tim Duncan, C,2016-2017
Charlotte Hornets,6348759,Spencer Hawes, PF,2016-2017
Charlotte Hornets,6333333,Marco Belinelli, G,2016-2017
Boston Celtics,6286408,Jae Crowder, PF,2016-2017
New York Knicks,6191000,Lance Thomas, SF,2016-2017
Los Angeles Lakers,6191000,Tarik Black, C,2016-2017
Washington Wizards,6088993,Andrew Nicholson, PF,2016-2017
Toronto Raptors,6050000,Patrick Patterson, PF,2016-2017
Minnesota Timberwolves,6006600,Andrew Wiggins, SF,2016-2017
Charlotte Hornets,6.00E+06,Ramon Sessions, G,2016-2017
Houston Rockets,6.00E+06,Patrick Beverley, PG,2016-2017
Miami Heat,6.00E+06,Wayne Ellington, SG,2016-2017
Detroit Pistons,6.00E+06,Ish Smith, PG,2016-2017
Oklahoma City Thunder,5994764,Alex Abrines, SG,2016-2017
Minnesota Timberwolves,5960160,Karl-Anthony Towns, C,2016-2017
Philadelphia 76ers,5903160,Ben Simmons, PG,2016-2017
Washington Wizards,5893981,Otto Porter Jr., SF,2016-2017
Golden State Warriors,5782450,Shaun Livingston, PG,2016-2017
Chicago Bulls,5782450,Nikola Mirotic, PF,2016-2017
Memphis Grizzlies,5709880,Brandan Wright, F,2016-2017
Miami Heat,5628000,Tyler Johnson, SG,2016-2017
Toronto Raptors,5628000,Jared Sullinger, C,2016-2017
LA Clippers,5628000,Wesley Johnson, SF,2016-2017
Memphis Grizzlies,5505618,Tony Allen, SG,2016-2017
Brooklyn Nets,5500000,Luis Scola, F,2016-2017
Los Angeles Lakers,5443918,Nick Young, G,2016-2017
Milwaukee Bucks,5374320,Jabari Parker, PF,2016-2017
Los Angeles Lakers,5332800,D'Angelo Russell, PG,2016-2017
Charlotte Hornets,5318313,Cody Zeller, C,2016-2017
Toronto Raptors,5300000,PJ Tucker, SF,2016-2017
Los Angeles Lakers,5281680,Brandon Ingram, SF,2016-2017
Cleveland Cavaliers,5239437,Kyle Korver, SG,2016-2017
Sacramento Kings,5229454,Darren Collison, PG,2016-2017
Sacramento Kings,5200000,Langston Galloway, SG,2016-2017
Washington Wizards,5.00E+06,Jason Smith, PF,2016-2017
Washington Wizards,5.00E+06,Brandon Jennings, G,2016-2017
Orlando Magic,5.00E+06,C.J. Watson, PG,2016-2017
Charlotte Hornets,5.00E+06,Roy Hibbert, C,2016-2017
Oklahoma City Thunder,4837500,Kyle Singler, F,2016-2017
Cleveland Cavaliers,4837500,Mike Dunleavy, SG,2016-2017
Philadelphia 76ers,4826160,Joel Embiid, C,2016-2017
Phoenix Suns,4823621,Alex Len, C,2016-2017
Philadelphia 76ers,4788840,Jahlil Okafor, C,2016-2017
Boston Celtics,4743000,Jaylen Brown, SG,2016-2017
New Orleans Pelicans,4638203,Alexis Ajinca, C,2016-2017
Detroit Pistons,4625000,Marcus Morris, PF,2016-2017
Indiana Pacers,4583450,CJ Miles, SF,2016-2017
Denver Nuggets,4540525,Jameer Nelson, G,2016-2017
Philadelphia 76ers,4384490,Nerlens Noel, PF,2016-2017
Orlando Magic,4351320,Aaron Gordon, PF,2016-2017
Brooklyn Nets,4347826,Greivis Vasquez, PG,2016-2017
New York Knicks,4317720,Kristaps Porzingis, PF,2016-2017
Phoenix Suns,4276320,Dragan Bender, PF,2016-2017
Memphis Grizzlies,4264057,Vince Carter, SF,2016-2017
Dallas Mavericks,4227996,Devin Harris, PG,2016-2017
Dallas Mavericks,4096950,J.J. Barea, PG,2016-2017
Sacramento Kings,4008882,Ben McLemore, SG,2016-2017
Indiana Pacers,4.00E+06,Lavoy Allen, F,2016-2017
Miami Heat,4.00E+06,Udonis Haslem, PF,2016-2017
Atlanta Hawks,4.00E+06,Kris Humphries, PF,2016-2017
Phoenix Suns,4.00E+06,Leandro Barbosa, G,2016-2017
Minnesota Timberwolves,4.00E+06,Lance Stephenson, SG,2016-2017
Utah Jazz,3940320,Dante Exum, PG,2016-2017
New York Knicks,3918750,Kyle O'Quinn, C,2016-2017
Orlando Magic,3909840,Mario Hezonja, SF,2016-2017
Minnesota Timberwolves,3872520,Kris Dunn, PG,2016-2017
Atlanta Hawks,3850000,Thabo Sefolosha, SF,2016-2017
Minnesota Timberwolves,3800000,Nemanja Bjelica, PF,2016-2017
Oklahoma City Thunder,3750000,Nick Collison, F,2016-2017
Washington Wizards,3730653,Bojan Bogdanovic, SF,2016-2017
Detroit Pistons,3678319,Kentavious Caldwell-Pope, SG,2016-2017
San Antonio Spurs,3617978,Quincy Pondexter, SF,2016-2017
San Antonio Spurs,3578948,Patty Mills, PG,2016-2017
Boston Celtics,3578880,Marcus Smart, PG,2016-2017
Sacramento Kings,3551160,Willie Cauley-Stein, C,2016-2017
Washington Wizards,3547000,Drew Gooden, PF,2016-2017
Denver Nuggets,3533333,Will Barton, SG,2016-2017
LA Clippers,3527920,Paul Pierce, SF,2016-2017
Sacramento Kings,3517200,Buddy Hield, SG,2016-2017
Minnesota Timberwolves,3500000,Brandon Rush, SG,2016-2017
Denver Nuggets,3500000,Mike Miller, SG,2016-2017
Oklahoma City Thunder,3488000,Anthony Morrow, SG,2016-2017
Washington Wizards,3386598,Trey Burke, PG,2016-2017
Atlanta Hawks,3333334,Mike Scott, PF,2016-2017
Brooklyn Nets,3333333,KJ McDaniels, F,2016-2017
Memphis Grizzlies,3332940,Troy Daniels, SG,2016-2017
Los Angeles Lakers,3267120,Julius Randle, PF,2016-2017
Denver Nuggets,3241800,Emmanuel Mudiay, PG,2016-2017
Portland Trail Blazers,3219579,CJ McCollum, SG,2016-2017
Denver Nuggets,3210840,Jamal Murray, PG,2016-2017
Chicago Bulls,3183526,Michael Carter-Williams, PG,2016-2017
Oklahoma City Thunder,3140517,Steven Adams, C,2016-2017
Boston Celtics,3094014,Kelly Olynyk, PF,2016-2017
Minnesota Timberwolves,3046299,Shabazz Muhammad, F,2016-2017
Brooklyn Nets,3.00E+06,Justin Hamilton, C,2016-2017
Philadelphia 76ers,3.00E+06,Tibor Pleiss, C,2016-2017
Milwaukee Bucks,2995421,Giannis Antetokounmpo, PF,2016-2017
Philadelphia 76ers,2993040,Nik Stauskas, SG,2016-2017
New Orleans Pelicans,2978250,Dante Cunningham, SF,2016-2017
Detroit Pistons,2969880,Stanley Johnson, SF,2016-2017
Phoenix Suns,2941440,Marquese Chriss, PF,2016-2017
Miami Heat,2898000,Dion Waiters, SG,2016-2017
New York Knicks,2898000,Mindaugas Kuzminskas, F,2016-2017
Dallas Mavericks,2898000,Seth Curry, SG,2016-2017
San Antonio Spurs,2898000,Dewayne Dedmon, C,2016-2017
Washington Wizards,2870813,Tomas Satoransky, SG,2016-2017
Portland Trail Blazers,2751360,Noah Vonleh, PF,2016-2017
Charlotte Hornets,2730000,Frank Kaminsky, PF,2016-2017
Atlanta Hawks,2708582,Dennis Schroder, PG,2016-2017
Toronto Raptors,2703960,Jakob Poeltl, C,2016-2017
Indiana Pacers,2700000,Aaron Brooks, G,2016-2017
Orlando Magic,2613600,Elfrid Payton, PG,2016-2017
Miami Heat,2593440,Justise Winslow, SF,2016-2017
Milwaukee Bucks,2568600,Thon Maker, PF,2016-2017
Brooklyn Nets,2500000,Randy Foye, SG,2016-2017
Atlanta Hawks,2500000,Malcolm Delaney, G,2016-2017
Oklahoma City Thunder,2483040,Doug McDermott, SF,2016-2017
Indiana Pacers,2463840,Myles Turner, C,2016-2017
Oklahoma City Thunder,2440200,Domantas Sabonis, PF,2016-2017
Utah Jazz,2433334,Shelvin Mack, PG,2016-2017
Milwaukee Bucks,2368327,Tony Snell, SG,2016-2017
Minnesota Timberwolves,2348783,Gorgui Dieng, C,2016-2017
Utah Jazz,2340600,Trey Lyles, PF,2016-2017
Portland Trail Blazers,2328530,Mason Plumlee, PF,2016-2017
Philadelphia 76ers,2318280,Dario Saric, PF,2016-2017
Atlanta Hawks,2318280,Taurean Prince, SF,2016-2017
Atlanta Hawks,2281605,Tim Hardaway Jr., G,2016-2017
Detroit Pistons,2255644,Reggie Bullock, SG,2016-2017
Minnesota Timberwolves,2240880,Zach LaVine, PG,2016-2017
Phoenix Suns,2223600,Devin Booker, SG,2016-2017
LA Clippers,2203000,Luc Mbah a Moute, PF,2016-2017
Sacramento Kings,2202240,Georgios Papagiannis, C,2016-2017
Denver Nuggets,2194500,Mo Williams, PG,2016-2017
Oklahoma City Thunder,2183072,Andre Roberson, SG,2016-2017
Utah Jazz,2150000,Joe Ingles, SF,2016-2017
Phoenix Suns,2128920,TJ Warren, SF,2016-2017
Utah Jazz,2121288,Rudy Gobert, C,2016-2017
Oklahoma City Thunder,2112480,Cameron Payne, PG,2016-2017
Chicago Bulls,2092200,Denzel Valentine, SG,2016-2017
New Orleans Pelicans,2090000,Tim Frazier, PG,2016-2017
Milwaukee Bucks,2048257,Kendall Marshall, PG,2016-2017
Minnesota Timberwolves,2022240,Adreian Payne, PF,2016-2017
Washington Wizards,2006640,Kelly Oubre Jr., SF,2016-2017
Denver Nuggets,1987440,Juan Hernangomez, PF,2016-2017
Toronto Raptors,1921320,Lucas Nogueira, C,2016-2017
Portland Trail Blazers,1921320,Jusuf Nurkic, C,2016-2017
Boston Celtics,1906440,Terry Rozier, PG,2016-2017
Boston Celtics,1825200,James Young, G,2016-2017
Milwaukee Bucks,1811040,Rashad Vaughn, G,2016-2017
Indiana Pacers,1800000,Kevin Seraphin, C,2016-2017
Memphis Grizzlies,1793760,Wade Baldwin IV, PG,2016-2017
Brooklyn Nets,1790092,Quincy Acy, F,2016-2017
Los Angeles Lakers,1733880,Tyler Ennis, G,2016-2017
Houston Rockets,1720560,Sam Dekker, SF,2016-2017
Oklahoma City Thunder,1709719,Joffrey Lauvergne, F,2016-2017
Detroit Pistons,1704120,Henry Ellenson, PF,2016-2017
Denver Nuggets,1655880,Gary Harris, SG,2016-2017
Chicago Bulls,1643040,Jerian Grant, PG,2016-2017
Denver Nuggets,1627320,Malik Beasley, SG,2016-2017
Toronto Raptors,1589640,Bruno Caboclo, F,2016-2017
Toronto Raptors,1577280,Delon Wright, PG,2016-2017
Brooklyn Nets,1562280,Caris LeVert, SG,2016-2017
San Antonio Spurs,1551659,David Lee, PF,2016-2017
Sacramento Kings,1551659,Caron Butler, SF,2016-2017
Oklahoma City Thunder,1526040,Mitch McGary, PF,2016-2017
Philadelphia 76ers,1514160,Justin Anderson, SG,2016-2017
Los Angeles Lakers,1500000,Marcelo Huertas, PG,2016-2017
Atlanta Hawks,1499760,DeAndre' Bembry, SF,2016-2017
Memphis Grizzlies,1465080,Jordan Adams, SG,2016-2017
Chicago Bulls,1453680,Bobby Portis, PF,2016-2017
Boston Celtics,1450000,Demetrius Jackson, PG,2016-2017
Sacramento Kings,1439800,Malachi Richardson, SG,2016-2017
Utah Jazz,1406520,Rodney Hood, SG,2016-2017
LA Clippers,1403611,Marreese Speights, F,2016-2017
Golden State Warriors,1403611,JaVale McGee, C,2016-2017
Milwaukee Bucks,1403611,Michael Beasley, SF,2016-2017
Brooklyn Nets,1395600,Rondae Hollis-Jefferson, SF,2016-2017
Memphis Grizzlies,1369299,Deyonta Davis, C,2016-2017
Denver Nuggets,1358500,Nikola Jokic, C,2016-2017
Portland Trail Blazers,1350120,Shabazz Napier, PG,2016-2017
New York Knicks,1350000,Willy Hernangomez, C,2016-2017
New York Knicks,1350000,Guillermo Hernangomez, C,2016-2017
Minnesota Timberwolves,1339680,Tyus Jones, PG,2016-2017
Philadelphia 76ers,1333240,Sasha Kaun, C,2016-2017
Philadelphia 76ers,1326960,Timothe Luwawu-Cabarrot, SG,2016-2017
Houston Rockets,1296240,Clint Capela, C,2016-2017
Memphis Grizzlies,1286160,Jarell Martin, PF,2016-2017
LA Clippers,1273920,Brice Johnson, PF,2016-2017
Miami Heat,1227286,Luke Babbitt, F,2016-2017
Atlanta Hawks,1227286,Jeremy Evans, F,2016-2017
Boston Celtics,1223653,Jordan Mickey, F,2016-2017
Orlando Magic,1209600,CJ Wilcox, G,2016-2017
Los Angeles Lakers,1207680,Larry Nance Jr., PF,2016-2017
Toronto Raptors,1196040,Pascal Siakam, PF,2016-2017
San Antonio Spurs,1192080,Kyle Anderson, SF,2016-2017
Oklahoma City Thunder,1191480,Josh Huestis, F,2016-2017
Washington Wizards,1191480,Chris McCullough, F,2016-2017
San Antonio Spurs,1188840,Livio Jean-Charles, SF,2016-2017
Sacramento Kings,1188840,Skal Labissiere, PF,2016-2017
Golden State Warriors,1182840,Kevon Looney, SF,2016-2017
San Antonio Spurs,1180080,Dejounte Murray, PG,2016-2017
Golden State Warriors,1171560,Damian Jones, C,2016-2017
Brooklyn Nets,1074145,Isaiah Whitehead, G,2016-2017
Indiana Pacers,1052342,Joe Young, G,2016-2017
Indiana Pacers,1052342,Rakeem Christmas, PF,2016-2017
Memphis Grizzlies,1050961,Tony Wroten, SG,2016-2017
Phoenix Suns,1050961,John Jenkins, G,2016-2017
Houston Rockets,1050961,Chris Johnson, SG,2016-2017
Indiana Pacers,1050500,Glenn Robinson III, SG,2016-2017
Houston Rockets,1045000,Montrezl Harrell, PF,2016-2017
Los Angeles Lakers,1034956,Ivica Zubac, C,2016-2017
Philadelphia 76ers,1025831,Richaun Holmes, PF,2016-2017
Dallas Mavericks,1015696,DeAndre Liggins, G,2016-2017
Toronto Raptors,1015696,Lorenzo Brown, PG,2016-2017
Atlanta Hawks,1015696,Mike Muscala, PF,2016-2017
Chicago Bulls,1015696,Isaiah Canaan, PG,2016-2017
Brooklyn Nets,1015696,Anthony Bennett, PF,2016-2017
Miami Heat,1015696,Willie Reed, C,2016-2017
New York Knicks,1015696,Justin Holiday, SF,2016-2017
Cleveland Cavaliers,1.00E+06,Edy Tavares, C,2016-2017
Philadelphia 76ers,980431,Cory Jefferson, F,2016-2017
Golden State Warriors,980431,James Michael McAdoo, SF,2016-2017
Toronto Raptors,980431,Eric Moreland, C,2016-2017
LA Clippers,980431,Devyn Marble, SF,2016-2017
Memphis Grizzlies,980431,JaMychal Green, PF,2016-2017
Charlotte Hornets,980431,Brian Roberts, PG,2016-2017
Oklahoma City Thunder,980431,Jerami Grant, SF,2016-2017
Utah Jazz,980431,Henry Sims, C,2016-2017
Utah Jazz,980431,Nate Wolters, PG,2016-2017
Sacramento Kings,980431,Jordan Farmar, PG,2016-2017
Atlanta Hawks,980431,Will Bynum, PG,2016-2017
Orlando Magic,950000,Stephen Zimmerman, C,2016-2017
Memphis Grizzlies,945000,Andrew Harrison, G,2016-2017
Utah Jazz,937800,Raul Neto, PG,2016-2017
Milwaukee Bucks,925000,Malcolm Brogdon, PG,2016-2017
Phoenix Suns,918369,Tyler Ulis, G,2016-2017
New Orleans Pelicans,895197,Reggie Williams, SF,2016-2017
Milwaukee Bucks,874636,Xavier Munford, G,2016-2017
Charlotte Hornets,874636,Christian Wood, PF,2016-2017
Philadelphia 76ers,874636,T.J. McConnell, PG,2016-2017
Cleveland Cavaliers,874636,Jordan McRae, SG,2016-2017
Toronto Raptors,874636,Norman Powell, SF,2016-2017
Memphis Grizzlies,874636,DJ Stephens, SG,2016-2017
Memphis Grizzlies,874636,D.J. Kennedy, SG,2016-2017
Detroit Pistons,874636,Darrun Hilliard, G,2016-2017
Phoenix Suns,874636,Alan Williams, PF,2016-2017
Portland Trail Blazers,874636,Grant Jerrett, PF,2016-2017
Sacramento Kings,874636,Duje Dukan, PF,2016-2017
New Orleans Pelicans,874636,Cliff Alexander, PF,2016-2017
Chicago Bulls,864346,R.J. Hunter, G,2016-2017
Chicago Bulls,750000,Paul Zipser, F,2016-2017
Brooklyn Nets,726672,Spencer Dinwiddie, PG,2016-2017
Houston Rockets,680534,Bobby Brown, PG,2016-2017
Dallas Mavericks,650000,AJ Hammons, C,2016-2017
